temperature_2m_mean,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,month,month_sin,month_cos
6.3178334,15.7908325,91.968994,3.11,0.6055101,3,1.0,6.123233995736766e-17
3.0365837,26.079508,202.49942,2.67,0.5059124,12,-2.4492935982947064e-16,1.0
6.6345005,13.089354,352.85498,23.82,2.9036598,4,0.8660254037844387,-0.4999999999999998
11.080335,7.491114,354.0532,10.76,1.4524391,10,-0.8660254037844386,0.5000000000000001
8.386583,8.78872,36.38446,9.71,1.5671728,3,1.0,6.123233995736766e-17
2.1365833,5.692099,23.412144,7.83,0.8536353,2,0.8660254037844386,0.5000000000000001
9.361583,36.23861,181.21823,0.36,0.21609938,11,-0.5000000000000004,0.8660254037844384
6.944917,17.22742,167.96686,1.54,0.25616807,2,0.8660254037844386,0.5000000000000001
12.301167,9.255571,164.73447,21.76,3.1029494,6,1.2246467991473532e-16,-1.0
15.161582,8.654986,155.68819,13.0,2.2308013,8,-0.8660254037844384,-0.5000000000000004
4.2636666,11.874544,347.4711,6.74,0.7061927,2,0.8660254037844386,0.5000000000000001
2.7115834,13.004921,171.92984,12.25,1.2359023,3,1.0,6.123233995736766e-17
5.8053336,23.979893,124.30144,0.92,0.24016823,12,-2.4492935982947064e-16,1.0
17.572168,19.164719,123.2623,23.52,4.3201838,7,-0.4999999999999997,-0.8660254037844388
1.9699169,10.1376915,94.88359,2.99,0.30594996,11,-0.5000000000000004,0.8660254037844384
8.46575,32.682762,201.60188,4.65,0.80262136,11,-0.5000000000000004,0.8660254037844384
2.4636667,10.931203,89.99994,12.99,1.3322732,3,1.0,6.123233995736766e-17
12.513665,5.495161,100.24779,7.32,1.0867304,10,-0.8660254037844386,0.5000000000000001
-2.2634165,14.113652,50.14904,4.73,0.71020764,12,-2.4492935982947064e-16,1.0
1.7470001,6.763786,344.35767,4.79,0.38661087,12,-2.4492935982947064e-16,1.0
-1.128,13.363711,43.910347,5.07,0.60311353,1,0.49999999999999994,0.8660254037844387
7.722,14.707222,111.575134,2.04,0.40898025,3,1.0,6.123233995736766e-17
16.6845,9.422101,233.86456,21.14,3.7061553,8,-0.8660254037844384,-0.5000000000000004
4.9469995,19.995398,194.12048,9.04,1.0169159,2,0.8660254037844386,0.5000000000000001
9.786584,13.339445,98.388596,8.52,1.3306259,5,0.49999999999999994,-0.8660254037844387
-1.8070002,12.181624,123.69012,8.63,1.0107639,2,0.8660254037844386,0.5000000000000001
3.8115835,6.638072,347.0822,9.46,0.99902713,2,0.8660254037844386,0.5000000000000001
12.272166,15.517629,259.21515,15.5,2.117313,9,-1.0,-1.8369701987210297e-16
